,Accident Type,Speed,Simple Injuries,Severe Injuries,Death,Road Lanes,Road Surfuce Description,Driver Licnesee Type,Light,Weather,City,Number of Cars,Driver Age,Driver Sex,Car,Year,Month
14219,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,2.0,23.0,Male,Vehicle,2018,6
14220,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3 auto,day,clear,Toronto,2.0,118.0,Unkown,Vehicle,2018,6
14221,Collision,60.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,25.0,Male,Vehicle,2018,6
14222,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,sunset,clear,Toronto,2.0,37.0,Male,Vehicle,2018,6
14223,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,sunset,clear,Toronto,2.0,36.0,Male,Trailer,2018,6
14224,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 1,lighty night,clear,Toronto,2.0,0.0,Unkown,Vehicle,2018,6
14225,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,lighty night,clear,Toronto,2.0,43.0,Male,Trailer,2018,6
14226,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,36.0,Male,Vehicle,2018,6
14227,Collision,50.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,34.0,Male,Vehicle,2018,6
14228,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Toronto,1.0,23.0,Male,Vehicle,2018,6
14229,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Ottawa,2.0,80.0,Male,Vehicle,2018,6
14230,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Ottawa,2.0,51.0,Male,Vehicle,2018,6
14231,Collision,70.0,0.0,0.0,0.0,Two ways with island,dry,Class 4,sunset,clear,Gatineau,2.0,39.0,Male,Vehicle,2018,6
14232,Collision,70.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,sunset,clear,Gatineau,2.0,21.0,Unkown,Truck,2018,6
14233,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 3 auto,day,clear,Toronto,2.0,24.0,Male,Vehicle,2018,6
14234,Collision,40.0,0.0,0.0,0.0,Two ways with island,dry,Class 3,day,clear,Toronto,2.0,26.0,Male,Vehicle,2018,6
14235,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 4,day,clear,Toronto,2.0,43.0,Male,Vehicle,2018,6
14236,Collision,50.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Toronto,2.0,40.0,Male,Vehicle,2018,6
14237,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 7,sunset,clear,Toronto,2.0,35.0,Male,Vehicle,2018,6
14238,Collision,60.0,0.0,0.0,0.0,Two ways,dry,Class 3,sunset,clear,Toronto,2.0,23.0,Male,Vehicle,2018,6
14239,Collision,40.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Montreal,2.0,62.0,Male,Vehicle,2018,6
14240,Collision,40.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Montreal,2.0,24.0,Male,Vehicle,2018,6
14241,Collision,60.0,1.0,1.0,0.0,Two ways with island,dry,Class 1,day,clear,Ottawa,2.0,0.0,Unkown,Motorcycle,2018,6
14242,Collision,60.0,1.0,1.0,0.0,Two ways with island,dry,Class 3,day,clear,Ottawa,2.0,0.0,Unkown,Vehicle,2018,6
14243,Collision,40.0,0.0,0.0,0.0,Two ways,dry,Class 4,day,clear,Toronto,2.0,45.0,Male,Vehicle,2018,6
14244,Collision,40.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,clear,Toronto,2.0,0.0,Male,Vehicle,2018,6
14245,Type-A,100.0,0.0,0.0,0.0,Two ways,dry,Class 3,day,dust,Orléans,1.0,28.0,Male,Vehicle,2018,6
14246,Collision,20.0,0.0,0.0,0.0,Parking lot,dry,Class 3,sunset,clear,Ottawa,1.0,28.0,Male,Vehicle,2018,6
